F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Target
0.003756114,0.195886856,0.244765441,0.227762265,0.238163225,0.077555791,0.310460841,0.415585664,0.456176866,0.573446892,0.333796838,0.154164188,0.034671553,0.107427436,0.177618374,0.236749223,0.154417027,0.552327856,0.588209108,0.462254941,2
0.003756114,0.195886856,0.244765441,0.227762265,0.238163225,0.333796838,0.154164188,0.034671553,0.107427436,0.177618374,0.077555791,0.310460841,0.415585664,0.456176866,0.573446892,0.236749223,0.154417027,0.552327856,0.588209108,0.462254941,2
0.003756114,0.227762265,0.238163225,0.195886856,0.244765441,0.077555791,0.456176866,0.573446892,0.310460841,0.415585664,0.333796838,0.107427436,0.177618374,0.154164188,0.034671553,0.236749223,0.154417027,0.552327856,0.588209108,0.462254941,2
0.007055818,0.168235774,0.253847485,0.253093867,0.234812924,0.050530366,0.268798508,0.438842568,0.515711321,0.561270749,0.312309119,0.177963862,0.033283451,0.139230347,0.164904345,0.238659367,0.159765878,0.550458371,0.589689817,0.529740878,2
0.092830953,0.176539943,0.264200577,0.118782312,0.287003324,0.024982754,0.281387866,0.376707517,0.469771256,0.569635352,0.374047855,0.273821952,0.100726178,0.05517525,0.168886459,0.24229997,0.152514732,0.553125796,0.595298643,0.568594782,2
0.380178988,0.196168592,0.366842127,0.36865579,0.511179412,0.215583745,0.425294025,0.536129398,0.530435879,0.701050224,0.148718743,0.035278562,0.230517956,0.226313789,0.80324203,0.378372617,0.204589187,0.552819815,0.587441537,0.436163638,2
0.383478692,0.16851751,0.375924171,0.393987392,0.507829111,0.18855832,0.383631693,0.559386302,0.589970333,0.688874082,0.127231024,0.059078236,0.229129854,0.258116701,0.790528001,0.380282761,0.206987132,0.550818876,0.5890537,0.519776976,2
0.469253827,0.17682168,0.386277263,0.259675836,0.560019511,0.163010708,0.39622105,0.497251251,0.544030268,0.697238685,0.188969759,0.154936326,0.296572581,0.174061604,0.794510114,0.383923364,0.198816224,0.55359707,0.594551756,0.556582838,2
0.003885623,0.192705619,0.245205047,0.224889519,0.289415356,0.125466633,0.229724999,0.42297382,0.441658631,0.551591303,0.346670973,0.150342084,0.037965135,0.129179695,0.254061926,0.243049091,0.145537402,0.549882101,0.577524426,0.45034873,2
0.007290068,0.193549287,0.247383152,0.229273569,0.278489278,0.123305603,0.25885614,0.421746059,0.449008435,0.557703957,0.328229869,0.146037115,0.035824656,0.122154828,0.265676351,0.244301891,0.146551001,0.519062167,0.549091255,0.45198413,2
0.080868821,0.220303523,0.252262612,0.186375887,0.149806619,0.269165776,0.479160593,0.407455304,0.3797321,0.504696992,0.381641398,0.104274632,0.090514903,0.079291259,0.252721765,0.255884812,0.140376732,0.545940637,0.577117553,0.43219337,3
0.080868821,0.220303523,0.252262612,0.186375887,0.149806619,0.381641398,0.104274632,0.090514903,0.079291259,0.252721765,0.269165776,0.479160593,0.407455304,0.3797321,0.504696992,0.255884812,0.140376732,0.545940637,0.577117553,0.43219337,3
0.080868821,0.186375887,0.149806619,0.220303523,0.252262612,0.269165776,0.3797321,0.504696992,0.479160593,0.407455304,0.381641398,0.079291259,0.252721765,0.104274632,0.090514903,0.255884812,0.140376732,0.545940637,0.577117553,0.43219337,3
0.06430383,0.222522009,0.268104528,0.198668013,0.112366326,0.294932919,0.478864305,0.449136513,0.391203434,0.479404573,0.391003794,0.124120555,0.105624796,0.047987892,0.311803169,0.262669777,0.146641176,0.546087197,0.580719314,0.503454128,3
0.049424269,0.234207938,0.396026638,0.231908409,0.254885591,0.306058551,0.394749209,0.421630048,0.389308194,0.538747979,0.412802286,0.031720289,0.030055435,0.029509679,0.309856117,0.268726042,0.160821619,0.547380575,0.585724353,0.562857315,3
0.37435273,0.216329357,0.359753464,0.302445396,0.465385606,0.34975269,0.441774676,0.346725971,0.512037133,0.792257828,0.108632835,0.071516251,0.222906396,0.234292461,0.862180146,0.377356196,0.213052122,0.546343323,0.576460985,0.411593322,3
0.357787738,0.218547843,0.375595379,0.314737522,0.427945314,0.375519833,0.441478389,0.388407179,0.523508467,0.766965409,0.117995231,0.091362175,0.238016289,0.202989094,0.92126155,0.384141161,0.216564407,0.546039955,0.580512674,0.488060622,3
0.342908178,0.230233772,0.503517489,0.347977919,0.570464578,0.386645465,0.357363292,0.360900715,0.521613227,0.826308815,0.139793723,-0.001038091,0.162446929,0.184510881,0.919314498,0.390197426,0.241421682,0.547587914,0.585263134,0.554953354,3
0.061529921,0.223330045,0.255290664,0.197915187,0.201936057,0.240191123,0.446495215,0.417400765,0.377169139,0.519110555,0.348012174,0.103657249,0.048047814,0.128098657,0.299935431,0.257874666,0.137800799,0.542488632,0.567640345,0.399794413,3
0.084570222,0.221279783,0.25939303,0.196135533,0.164686505,0.250793067,0.456758787,0.415369149,0.379635881,0.519659905,0.369887072,0.109250495,0.041052543,0.120912485,0.299647223,0.259268779,0.139943018,0.526078295,0.555776018,0.448357031,3
