TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ,AOI_IND,AOI_X,AOI_Y,MEAN_ERR,STD ERR
2429.02316,-1,1,-0.6338,-1.3284,-0.113,0.113,-0.0716194,-0.1501092,-0.010790705,5.214870211,0.010790705,-8.529321033,4.31894878,3.739478144,0.579470636,0,0,0,0,0
2462.06324,-1,1,-6.543,0.2649,-0.113,0.113,-0.739359,0.0299337,-0.010790705,5.155798699,0.010790705,-8.517223247,4.31894878,3.753805864,0.565142916,0,0,0,0,0
2495.65019,-1,1,-10.4274,-2.4093,-0.113,0.113,-1.1782962,-0.2722509,-0.010790705,5.119798003,0.010790705,-8.549277291,4.31894878,3.726410083,0.592538697,0,0,0,0,0
2529.00673,-1,1,-9.5636,-2.7978,-0.113,0.113,-1.0806868,-0.3161514,-0.010790705,5.124425592,0.010790705,-8.567764514,4.31894878,3.719701311,0.599247469,0,0,0,0,0
2562.32558,-1,1,-14.9691,-3.4899,-0.113,0.113,-1.6915083,-0.3943587,-0.010790705,5.076451094,0.010790705,-8.583760878,4.31894878,3.711042027,0.607906753,0,0,0,0,0
2595.09614,-1,1,-9.1308,0.7988,-0.113,0.113,-1.0317804,0.0902644,-0.010790705,5.131135721,0.010790705,-8.531499137,4.31894878,3.753426164,0.565522616,0,0,0,0,0
2628.31686,-1,1,-11.9322,3.1911,-0.113,0.113,-1.3483386,0.3605943,-0.010790705,5.090126468,0.010790705,-8.515535735,4.31894878,3.775116149,0.543832631,0,0,0,0,0
2662.39804,-1,1,-9.8417,19.6546,-0.113,0.113,-1.1121121,2.2209698,-0.010790705,5.112377691,0.010790705,-8.361747508,4.31894878,3.928276599,0.390672181,0,0,0,0,0
2695.0406,-1,1,-10.274,18.3066,-0.113,0.113,-1.160962,2.0686458,-0.010790705,5.109882535,0.010790705,-8.386481109,4.31894878,3.913744073,0.405204707,0,0,0,0,0
2732.36884,-1,1,-8.1793,19.246,-0.113,0.113,-0.9242609,2.174798,-0.010790705,4.277440251,0.010790705,-9.222311327,4.31894878,6.968998423,2.650049643,0,0,0,0,0
2762.11707,-1,1,-5.1494,20.9263,-0.113,0.113,-0.5818822,2.3646719,-0.010790705,5.166989883,0.010790705,-8.345951801,4.31894878,3.939277873,0.379670907,0,0,0,0,0
2795.38543,-1,1,-9.9248,23.3731,-0.113,0.113,-1.1215024,2.6411603,-0.010790705,5.103177809,0.010790705,-8.333794815,4.31894878,3.960788625,0.358160155,0,0,0,0,0
2828.56846,-1,1,-11.8503,27.7628,-0.113,0.113,-1.3390839,3.1371964,-0.010790705,5.078846738,0.010790705,-8.305282994,4.31894878,4.003133982,0.315814798,0,0,0,0,0
2861.95273,-1,1,-8.24,24.7786,-0.113,0.113,-0.93112,2.7999818,-0.010790705,5.117947832,0.010790705,-8.324910118,4.31894878,3.976303864,0.342644916,0,0,0,0,0
2894.84419,-1,1,-6.6885,23.6165,-0.113,0.113,-0.7558005,2.6686645,-0.010790705,5.140072418,0.010790705,-8.324636087,4.31894878,3.965966769,0.352982011,0,0,0,0,0
2911.091,-1,1,-2.2646,20.3673,-0.113,0.113,-0.2558998,2.3015049,-0.010790705,5.183312196,0.010790705,-8.345529082,4.31894878,3.937522766,0.381426015,0,0,0,0,0
2944.401,-1,1,-2.3972,20.3467,-0.113,0.113,-0.2708836,2.2991771,-0.010790705,5.181195652,0.010790705,-8.352974652,4.31894878,3.936598608,0.382350172,0,0,0,0,0
